"NP","PUMA","TEN","HICOV","POV","SP","HCB","SCHL","RACE"
2,"20301","Rented","1",1,1,101,"SC","White"
2,"20301","Owned/Mortgage","1",0,1,43,"C","White"
5,"20500","Owned/Mortgage","1",0,0,62,"C","White"
1,"20901","Owned/Mortgage","1",0,0,36,"SC","White"
1,"20202","Owned/Mortgage","1",0,0,17,"C","White"
4,"20100","Owned/Mortgage","1",0,0,24,"HS","Other"
2,"20603","Owned/Mortgage","1",0,0,17,"HS","Two or more"
4,"20904","Owned/Mortgage","1",0,0,19,"C","White"
1,"20702","Rented","2",1,0,101,"C","Other"
2,"20401","Owned/Free","1",0,0,7,"C","White"
2,"20901","Owned/Mortgage","1",0,1,15,"C","White"
2,"20203","Owned/Free","1",0,0,14,"HS","White"
3,"20202","Owned/Mortgage","1",0,1,11,"SC","White"
3,"20100","Owned/Mortgage","1",0,0,16,"C","White"
1,"20702","Rented","1",0,0,41,"HS","White"
3,"20202","Owned/Mortgage","1",0,0,30,"C","White"
2,"20602","Rented","1",0,0,76,"HS","Other"
4,"20904","Owned/Mortgage","1",0,0,20,"C","White"
2,"20603","Owned/Mortgage","1",0,0,86,"SC","White"
2,"20202","Owned/Mortgage","1",0,0,79,"SC","White"
3,"20802","Owned/Mortgage","1",0,0,20,"HS","White"
2,"20703","Owned/Free","1",0,0,11,"C","White"
2,"20904","Rented","1",0,0,11,"SC","White"
2,"20204","Owned/Mortgage","1",0,0,18,"HS","White"
3,"20500","Rented","1",0,0,39,"C","Asian"
4,"20901","Rented","2",0,0,2,"C","Two or more"
2,"20301","Owned/Free","1",0,0,11,"C","White"
1,"20301","Owned/Free","1",1,0,101,"SC","White"
3,"20703","Owned/Mortgage","1",0,0,12,"C","White"
6,"20602","Owned/Free","1",0,1,4,"C","Other"
2,"20401","Owned/Free","1",0,0,15,"C","White"
2,"20802","Owned/Free","1",0,0,14,"C","White"
3,"20901","Rented","1",0,0,12,"SC","Two or more"
1,"20207","Rented","1",0,0,43,"HS","White"
3,"20206","Owned/Free","1",0,0,5,"C","White"
2,"20901","Owned/Free","1",1,1,101,"C","White"
3,"20702","Owned/Mortgage","1",0,0,19,"SC","Two or more"
1,"20702","Owned/Free","1",0,0,78,"HS","White"
1,"20402","Owned/Mortgage","1",0,0,18,"C","White"
1,"20703","Rented","1",1,0,0,"HS","Other"
